Data_entry_person,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Food.supply,Food.relative,Food.relative score,Mean_Ambient,SE_Ambient,SD_Ambient,95CI_Ambient,N_Ambient,Mean_Elevated,SE_Elevated,SD_Elevated,95CI_Elevated,N_Elevated,Notes,,,,,
Joey,3,3,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),Low,starvation,0,240.41,11.58,81.91,,50,237.297,11.58,81.907714,,50,"JB estimate the SEM from the width of the dots on the graph, since they were not visible, 'error bars fall within the graphical representation of the data point'",,,,,
Joey,4,4,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),High,ad libitum,4,336.98166,11.58,81.91,,50,339.27267,11.58,81.907714,,50,"JB estimate the SEM from the width of the dots on the graph, since they were not visible, 'error bars fall within the graphical representation of the data point'",,,,,
Kat,47,5,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,shell growth (mm),High,natural,3,0.034772,0.000912,0.002039293995,,5,0.031684,0.002035,0.004550398334,,5,n was very poorly described,,,,,
Kat,48,6,3,Hettinger,2013,oyster,bivalve,528,1067,539,0.3,shell growth (mm),Med,one half,2,0.034772,0.001895,0.004237348817,,5,0.033018,0.000351,0.0007848598601,,5,n was very poorly described,,,,,
Kat,49,7,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,shell growth (mm),Low,one tenth,1,0.030982,0.004912,0.01098356591,,5,0.026702,0.002105,0.004706923093,,5,n was very poorly described,,,,,
Joey,8,8,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),Low,one tenth,1,1422.22,355.55,940.6968786,,7,1806,377,997.4482443,,7,,,,,,
Joey,9,9,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),Med,one half,2,2711.11,1066.66,2822.117093,,7,3374.2,296.5,784.4652637,,7,,,,,,
Joey,10,10,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),High,full food,3,3875,664,1756.778871,,7,3342,569.2,1505.961646,,7,,,,,,
Joey,11,8,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),Low,one tenth,1,1422.22,355.55,940.6968786,,7,1464.8,263.4,696.8908953,,7,,,,,,
Joey,12,9,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),Med,one half,2,2711.11,1066.66,2822.117093,,7,2819.2,495.3,1310.440624,,7,,,,,,
Joey,13,10,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),High,full food,3,3875,664,1756.778871,,7,3471.4,630.9,1669.204502,,7,,,,,,
Joey,14,8,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),Low,one tenth,1,1422.22,355.55,940.6968786,,7,1300.6,74.7,197.6376229,,7,,,,,,
Joey,15,9,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),Med,one half,2,2711.11,1066.66,2822.117093,,7,2281.5,450.8,1192.704691,,7,,,,,,
Joey,16,10,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),High,full food,3,3875,664,1756.778871,,7,3379.5,677.5,1792.496513,,7,,,,,,
Norah,17,11,5,Crook,2013,coral,coral,410,770,360,0.24,volume (mm3),Low,low maintenance,1,8.62069,1.293103,7.540021388,,34,7.758621,0.862069,5.314150215,,38,Crook data with N= individuals not jars,,,,,
