Data_entry_person,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Food.supply,Food.relative,Food.relative score,Mean_Ambient,SE_Ambient,SD_Ambient,95CI_Ambient,N_Ambient,Mean_Elevated,SE_Elevated,SD_Elevated,95CI_Elevated,N_Elevated,Notes,,,,,
Norah,1,1,1,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,shell length (um),Low,half food,1,274.9513,2.0468,1.1817,,3,274.9513,2.729,1.5756,,3,,,,,,
Norah,2,2,1,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,shell length (um),High,full food,3,292.6901,5.4581,3.1512,,3,274.9513,4.7758,2.7573,,3,,,,,,
Joey,3,3,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),Low,starvation,0,240.41,11.58,81.91,,50,237.297,11.58,81.907714,,50,"JB estimate the SEM from the width of the dots on the graph, since they were not visible, 'error bars fall within the graphical representation of the data point'",,,,,
Joey,4,4,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),High,ad libitum,4,336.98166,11.58,81.91,,50,339.27267,11.58,81.907714,,50,"JB estimate the SEM from the width of the dots on the graph, since they were not visible, 'error bars fall within the graphical representation of the data point'",,,,,
Joey,5,5,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,total dry weight (ug/larva),High,natural,3,4.210178034,0.08467,0.19,,5,3.8993252,0.0605,0.135282113,,5,,,,,,
Joey,7,7,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,total dry weight (ug/larva),Low,one tenth,1,3.12294935,0.084724,0.19,,5,2.921063328,0.290366602,0.649279461,,5,,,,,,
Joey,8,8,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,organic mass (mg),Low,one tenth,1,0.062676,3.78E-05,0.0001,,7,0.105749293,3.78E-05,0.0001,,7,,,,,,
Joey,10,10,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,organic mass (mg),High,full food,3,0.708953817,0.102737925,0.271819,,7,0.557775,0.110076361,0.291234677,,7,,,,,,
Joey,11,8,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,organic mass (mg),Low,one tenth,1,0.062676,3.78E-05,0.0001,,7,0.090386428,3.78E-05,0.0001,,7,,,,,,
Joey,13,10,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,organic mass (mg),High,full food,3,0.708953817,0.102737925,0.271819,,7,0.639679548,0.132091637,0.349481621,,7,,,,,,
Joey,14,8,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,organic mass (mg),Low,one tenth,1,0.062676,3.78E-05,0.0001,,7,0.09462771,3.78E-05,0.0001,,7,,,,,,
Joey,16,10,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,organic mass (mg),High,full food,3,0.708953817,0.102737925,0.271819,,7,0.585579642,0.099068728,0.262111216,,7,,,,,,
Norah,17,11,5,Crook,2013,coral,coral,410,770,360,0.24,volume (mm3),Low,low maintenance,1,8.62069,1.293103,7.540021388,,34,7.758621,0.862069,5.314150215,,38,Crook data with N= individuals not jars,,,,,
Norah,18,12,5,Crook,2013,coral,coral,410,770,360,0.24,volume (mm3),High,plentiful,3,81.03448,9.051724,43.4105433,,23,78.87931,7.758621,37.20903917,,23,Crook data with N= individuals not jars,,,,,
